,precision,recall,f1-score,support
Liga Inggris,1.0,0.875,0.9333333333333333,16.0
Liga Indonesia,1.0,0.875,0.9333333333333333,16.0
Liga Spanyol,0.8947368421052632,1.0,0.9444444444444444,17.0
Liga Italia,0.9411764705882353,1.0,0.9696969696969697,16.0
Non Sepak Bola,0.9811320754716981,1.0,0.9904761904761905,52.0
accuracy,0.9658119658119658,0.9658119658119658,0.9658119658119658,0.9658119658119658
macro avg,0.9634090776330393,0.95,0.9542568542568542,117.0
weighted avg,0.9682753655532438,0.9658119658119658,0.965317398650732,117.0
