video_number,video_url,author,comment,likes,published_time,comment_length,case_folding,text_cleaning,normalized_text,tokens,stopwords_removed,stemmed,clean_comment,cluster
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@redbals1937,"Asalamualaikum habib, apakah boleh menjadi YouTuber dengan menyalakan adsense,saya bertanya ini,karena saya amati bnyk iklan YouTube yang tidak sesuai syariat islam",0,6 bulan yang lalu (diedit),164,"asalamualaikum habib, apakah boleh menjadi youtuber dengan menyalakan adsense,saya bertanya ini,karena saya amati bnyk iklan youtube yang tidak sesuai syariat islam",asalamualaikum habib apakah boleh menjadi youtuber dengan menyalakan adsensesaya bertanya inikarena saya amati bnyk iklan youtube yang tidak sesuai syariat islam,asalamualaikum habib apakah boleh menjadi youtuber dengan menyalakan adsensesaya bertanya inikarena saya amati bnyk iklan youtube yang tidak sesuai syariat islam,"['asalamualaikum', 'habib', 'apakah', 'boleh', 'menjadi', 'youtuber', 'dengan', 'menyalakan', 'adsensesaya', 'bertanya', 'inikarena', 'saya', 'amati', 'bnyk', 'iklan', 'youtube', 'yang', 'tidak', 'sesuai', 'syariat', 'islam']","['asalamualaikum', 'habib', 'youtuber', 'menyalakan', 'adsensesaya', 'inikarena', 'amati', 'bnyk', 'iklan', 'sesuai', 'syariat', 'islam']","['asalamualaikum', 'habib', 'youtuber', 'nyala', 'adsensesaya', 'inikarena', 'amat', 'bnyk', 'iklan', 'sesuai', 'syariat', 'islam']",asalamualaikum habib youtuber nyala adsensesaya inikarena amat bnyk iklan sesuai syariat islam,2
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@Mood_Bster,"(AI) itu seperti politik jika disalahgunakan bisa merusak peradaban,, jika digunakan dengan baik akan membantu seluruh mahluk hidup di alam semesta,, ❤",1,6 bulan yang lalu,151,"(ai) itu seperti politik jika disalahgunakan bisa merusak peradaban,, jika digunakan dengan baik akan membantu seluruh mahluk hidup di alam semesta,, ❤",ai itu seperti politik jika disalahgunakan bisa merusak peradaban jika digunakan dengan baik akan membantu seluruh mahluk hidup di alam semesta,ai itu seperti politik jika disalahgunakan bisa merusak peradaban jika digunakan dengan baik akan membantu seluruh mahluk hidup di alam semesta,"['ai', 'itu', 'seperti', 'politik', 'jika', 'disalahgunakan', 'bisa', 'merusak', 'peradaban', 'jika', 'digunakan', 'dengan', 'baik', 'akan', 'membantu', 'seluruh', 'mahluk', 'hidup', 'di', 'alam', 'semesta']","['ai', 'politik', 'disalahgunakan', 'merusak', 'peradaban', 'membantu', 'mahluk', 'hidup', 'alam', 'semesta']","['ai', 'politik', 'disalahgunakan', 'rusak', 'adab', 'bantu', 'mahluk', 'hidup', 'alam', 'semesta']",ai politik disalahgunakan rusak adab bantu mahluk hidup alam semesta,1
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@rizadwilestari2172,bib gaada QNA?,0,6 bulan yang lalu,14,bib gaada qna?,bib gaada qna,bib gaada qna,"['bib', 'gaada', 'qna']","['bib', 'gaada', 'qna']","['bib', 'gaada', 'qna']",bib gaada qna,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@AndreaPutriutami,Guru gembul bib 😂,3,6 bulan yang lalu,17,guru gembul bib 😂,guru gembul bib,guru gembul bib,"['guru', 'gembul', 'bib']","['guru', 'gembul', 'bib']","['guru', 'gembul', 'bib']",guru gembul bib,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@Classicerrorsquad,"AI itu sama halnya api, bisa jadi kawan ataupun lawan, jadi ada manfaatnya, tapi dibalik manfaat itu ga dipungkiri klo AI jg bisa jadi senjata yg mematikan buat manusia meskipun ga secara harfiah, jadi sekedar saran mesti hati2 jg buat pake AI ini",2,6 bulan yang lalu,247,"ai itu sama halnya api, bisa jadi kawan ataupun lawan, jadi ada manfaatnya, tapi dibalik manfaat itu ga dipungkiri klo ai jg bisa jadi senjata yg mematikan buat manusia meskipun ga secara harfiah, jadi sekedar saran mesti hati2 jg buat pake ai ini",ai itu sama halnya api bisa jadi kawan ataupun lawan jadi ada manfaatnya tapi dibalik manfaat itu ga dipungkiri klo ai jg bisa jadi senjata yg mematikan buat manusia meskipun ga secara harfiah jadi sekedar saran mesti hati jg buat pake ai ini,ai itu sama halnya api bisa jadi kawan ataupun lawan jadi ada manfaatnya tapi dibalik manfaat itu ga dipungkiri klo ai juga bisa jadi senjata yg mematikan buat manusia meskipun ga secara harfiah jadi sekedar saran mesti hati juga buat pakai ai ini,"['ai', 'itu', 'sama', 'halnya', 'api', 'bisa', 'jadi', 'kawan', 'ataupun', 'lawan', 'jadi', 'ada', 'manfaatnya', 'tapi', 'dibalik', 'manfaat', 'itu', 'ga', 'dipungkiri', 'klo', 'ai', 'juga', 'bisa', 'jadi', 'senjata', 'yg', 'mematikan', 'buat', 'manusia', 'meskipun', 'ga', 'secara', 'harfiah', 'jadi', 'sekedar', 'saran', 'mesti', 'hati', 'juga', 'buat', 'pakai', 'ai', 'ini']","['ai', 'halnya', 'api', 'kawan', 'lawan', 'manfaatnya', 'dibalik', 'manfaat', 'dipungkiri', 'klo', 'ai', 'senjata', 'mematikan', 'manusia', 'harfiah', 'sekedar', 'saran', 'mesti', 'hati', 'pakai', 'ai']","['ai', 'hal', 'api', 'kawan', 'lawan', 'manfaat', 'balik', 'manfaat', 'dipungkiri', 'klo', 'ai', 'senjata', 'mati', 'manusia', 'harfiah', 'dar', 'saran', 'mesti', 'hati', 'pakai', 'ai']",ai hal api kawan lawan manfaat balik manfaat dipungkiri klo ai senjata mati manusia harfiah dar saran mesti hati pakai ai,1
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@JurnalRasa_id,Jujur kurang menjawab isu dari judul videonya. Sebenernya sudah dijawab tapi kurang mendalam pembahasannya,0,6 bulan yang lalu,106,jujur kurang menjawab isu dari judul videonya. sebenernya sudah dijawab tapi kurang mendalam pembahasannya,jujur kurang menjawab isu dari judul videonya sebenernya sudah dijawab tapi kurang mendalam pembahasannya,jujur kurang menjawab isu dari judul videonya sebenernya sudah dijawab tapi kurang mendalam pembahasannya,"['jujur', 'kurang', 'menjawab', 'isu', 'dari', 'judul', 'videonya', 'sebenernya', 'sudah', 'dijawab', 'tapi', 'kurang', 'mendalam', 'pembahasannya']","['jujur', 'isu', 'judul', 'videonya', 'sebenernya', 'mendalam', 'pembahasannya']","['jujur', 'isu', 'judul', 'video', 'sebenernya', 'dalam', 'bahas']",jujur isu judul video sebenernya dalam bahas,1
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@Rapmusicshow,jangan lupa shalat 𝟱𝗪𝗮𝗸𝘁𝘂 biar hidupnya makin 🅖🅐🅒🅞🅡,0,6 bulan yang lalu,51,jangan lupa shalat 𝟱𝗪𝗮𝗸𝘁𝘂 biar hidupnya makin 🅖🅐🅒🅞🅡,jangan lupa shalat biar hidupnya makin,jangan lupa shalat biar hidupnya makin,"['jangan', 'lupa', 'shalat', 'biar', 'hidupnya', 'makin']","['lupa', 'shalat', 'biar', 'hidupnya']","['lupa', 'shalat', 'biar', 'hidup']",lupa shalat biar hidup,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@salimahmad6555,Comen judol....jahannamm..,0,6 bulan yang lalu,26,comen judol....jahannamm..,comen judoljahannamm,comen judoljahannamm,"['comen', 'judoljahannamm']","['comen', 'judoljahannamm']","['comen', 'judoljahannamm']",comen judoljahannamm,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@In-xn4pc,GGS PONTIANAK HADIR!,0,6 bulan yang lalu,20,ggs pontianak hadir!,ggs pontianak hadir,ggs pontianak hadir,"['ggs', 'pontianak', 'hadir']","['ggs', 'pontianak', 'hadir']","['ggs', 'pontianak', 'hadir']",ggs pontianak hadir,1
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@Rafi-qw8ei,"Astaghfirullah. Banyak kali komen judol di video ini, padahal video ini soal pendidikan. Jangan lupa report komen nya kawan-kawan ku, report dua akun sudah cukup membantu memberantas judol",0,6 bulan yang lalu,188,"astaghfirullah. banyak kali komen judol di video ini, padahal video ini soal pendidikan. jangan lupa report komen nya kawan-kawan ku, report dua akun sudah cukup membantu memberantas judol",astaghfirullah banyak kali komen judol di video ini padahal video ini soal pendidikan jangan lupa report komen nya kawankawan ku report dua akun sudah cukup membantu memberantas judol,astaghfirullah banyak kali komen judol di video ini padahal video ini soal pendidikan jangan lupa report komen nya kawankawan ku report dua akun sudah cukup membantu memberantas judol,"['astaghfirullah', 'banyak', 'kali', 'komen', 'judol', 'di', 'video', 'ini', 'padahal', 'video', 'ini', 'soal', 'pendidikan', 'jangan', 'lupa', 'report', 'komen', 'nya', 'kawankawan', 'ku', 'report', 'dua', 'akun', 'sudah', 'cukup', 'membantu', 'memberantas', 'judol']","['astaghfirullah', 'kali', 'komen', 'judol', 'video', 'video', 'pendidikan', 'lupa', 'report', 'komen', 'kawankawan', 'ku', 'report', 'akun', 'membantu', 'memberantas', 'judol']","['astaghfirullah', 'kali', 'komen', 'judol', 'video', 'video', 'didik', 'lupa', 'report', 'komen', 'kawankawan', 'ku', 'report', 'akun', 'bantu', 'berantas', 'judol']",astaghfirullah kali komen judol video video didik lupa report komen kawankawan ku report akun bantu berantas judol,2
