video_number,video_url,author,comment,likes,published_time,comment_length,case_folding,text_cleaning,normalized_text,tokens,stopwords_removed,stemmed,clean_comment,cluster
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@ketutmaru9086,Anak dari timur setingkat sd mampu mengajar mahasiswa proses itu bisa terjadi karena anak itu mendapatkan pendidikan yg baik seperti Nono dari ntt,0,1 tahun yang lalu,146,anak dari timur setingkat sd mampu mengajar mahasiswa proses itu bisa terjadi karena anak itu mendapatkan pendidikan yg baik seperti nono dari ntt,anak dari timur setingkat sd mampu mengajar mahasiswa proses itu bisa terjadi karena anak itu mendapatkan pendidikan yg baik seperti nono dari ntt,anak dari timur setingkat sd mampu mengajar mahasiswa proses itu bisa terjadi karena anak itu mendapatkan pendidikan yg baik seperti nono dari ntt,"['anak', 'dari', 'timur', 'setingkat', 'sd', 'mampu', 'mengajar', 'mahasiswa', 'proses', 'itu', 'bisa', 'terjadi', 'karena', 'anak', 'itu', 'mendapatkan', 'pendidikan', 'yg', 'baik', 'seperti', 'nono', 'dari', 'ntt']","['anak', 'timur', 'setingkat', 'sd', 'mengajar', 'mahasiswa', 'proses', 'anak', 'pendidikan', 'nono', 'ntt']","['anak', 'timur', 'tingkat', 'sd', 'ajar', 'mahasiswa', 'proses', 'anak', 'didik', 'nono', 'ntt']",anak timur tingkat sd ajar mahasiswa proses anak didik nono ntt,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@frankynayoan6255,Data bias muncul karena pertanyaan bias Bu... Kalau pertanyaan bodoh jawabannya AI akan memberikan jawaban bodoh. Jangan memberikan pertanyaan ambigu ke AI....pasti AI akan memberikan jawaban bias.,0,1 tahun yang lalu,197,data bias muncul karena pertanyaan bias bu... kalau pertanyaan bodoh jawabannya ai akan memberikan jawaban bodoh. jangan memberikan pertanyaan ambigu ke ai....pasti ai akan memberikan jawaban bias.,data bias muncul karena pertanyaan bias bu kalau pertanyaan bodoh jawabannya ai akan memberikan jawaban bodoh jangan memberikan pertanyaan ambigu ke aipasti ai akan memberikan jawaban bias,data bias muncul karena pertanyaan bias bu kalau pertanyaan bodoh jawabannya ai akan memberikan jawaban bodoh jangan memberikan pertanyaan ambigu ke aipasti ai akan memberikan jawaban bias,"['data', 'bias', 'muncul', 'karena', 'pertanyaan', 'bias', 'bu', 'kalau', 'pertanyaan', 'bodoh', 'jawabannya', 'ai', 'akan', 'memberikan', 'jawaban', 'bodoh', 'jangan', 'memberikan', 'pertanyaan', 'ambigu', 'ke', 'aipasti', 'ai', 'akan', 'memberikan', 'jawaban', 'bias']","['data', 'bias', 'muncul', 'bias', 'bodoh', 'jawabannya', 'ai', 'bodoh', 'ambigu', 'aipasti', 'ai', 'bias']","['data', 'bias', 'muncul', 'bias', 'bodoh', 'jawab', 'ai', 'bodoh', 'ambigu', 'aipasti', 'ai', 'bias']",data bias muncul bias bodoh jawab ai bodoh ambigu aipasti ai bias,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@suyatnospdi5934,"Saya pensiunan,sekilas melihat kecerdasan anak sekarang memang mengagumkan tetapi disisi lain anak tak mengerti hal-hal yg sederhana. Di mèdia sering kita lihat anak SMA di tanya ttg jml bln dlm 2 th saja Sdh tak bisa, saya pernah tanya anak SMP ttg arah mata angin mrk tak tahu. Tolong Prof Formulasi (methode )apa yg bisa memotivasi anak² mendatang menghadapi kemajuan IT ?",0,1 tahun yang lalu,375,"saya pensiunan,sekilas melihat kecerdasan anak sekarang memang mengagumkan tetapi disisi lain anak tak mengerti hal-hal yg sederhana. di mèdia sering kita lihat anak sma di tanya ttg jml bln dlm 2 th saja sdh tak bisa, saya pernah tanya anak smp ttg arah mata angin mrk tak tahu. tolong prof formulasi (methode )apa yg bisa memotivasi anak² mendatang menghadapi kemajuan it ?",saya pensiunansekilas melihat kecerdasan anak sekarang memang mengagumkan tetapi disisi lain anak tak mengerti halhal yg sederhana di m dia sering kita lihat anak sma di tanya ttg jml bln dlm th saja sdh tak bisa saya pernah tanya anak smp ttg arah mata angin mrk tak tahu tolong prof formulasi methode apa yg bisa memotivasi anak mendatang menghadapi kemajuan it,saya pensiunansekilas melihat kecerdasan anak sekarang memang mengagumkan tetapi disisi lain anak tak mengerti halhal yg sederhana di m dia sering kita lihat anak sma di tanya ttg jml bln dalam th saja sdh tak bisa saya pernah tanya anak smp ttg arah mata angin mrk tak tahu tolong prof formulasi methode apa yg bisa memotivasi anak mendatang menghadapi kemajuan it,"['saya', 'pensiunansekilas', 'melihat', 'kecerdasan', 'anak', 'sekarang', 'memang', 'mengagumkan', 'tetapi', 'disisi', 'lain', 'anak', 'tak', 'mengerti', 'halhal', 'yg', 'sederhana', 'di', 'm', 'dia', 'sering', 'kita', 'lihat', 'anak', 'sma', 'di', 'tanya', 'ttg', 'jml', 'bln', 'dalam', 'th', 'saja', 'sdh', 'tak', 'bisa', 'saya', 'pernah', 'tanya', 'anak', 'smp', 'ttg', 'arah', 'mata', 'angin', 'mrk', 'tak', 'tahu', 'tolong', 'prof', 'formulasi', 'methode', 'apa', 'yg', 'bisa', 'memotivasi', 'anak', 'mendatang', 'menghadapi', 'kemajuan', 'it']","['pensiunansekilas', 'kecerdasan', 'anak', 'mengagumkan', 'disisi', 'anak', 'mengerti', 'halhal', 'sederhana', 'm', 'lihat', 'anak', 'sma', 'ttg', 'jml', 'bln', 'th', 'sdh', 'anak', 'smp', 'ttg', 'arah', 'mata', 'angin', 'mrk', 'tolong', 'formulasi', 'methode', 'memotivasi', 'anak', 'menghadapi', 'kemajuan', 'it']","['pensiunansekilas', 'cerdas', 'anak', 'kagum', 'sisi', 'anak', 'erti', 'halhal', 'sederhana', 'm', 'lihat', 'anak', 'sma', 'ttg', 'jml', 'bln', 'th', 'sdh', 'anak', 'smp', 'ttg', 'arah', 'mata', 'angin', 'mrk', 'tolong', 'formulasi', 'methode', 'motivasi', 'anak', 'hadap', 'maju', 'it']",pensiunansekilas cerdas anak kagum sisi anak erti halhal sederhana m lihat anak sma ttg jml bln th sdh anak smp ttg arah mata angin mrk tolong formulasi methode motivasi anak hadap maju it,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@MuhammadYusuf-mt2rz,Tekhnologi itu di buat manusia yang ngendalikanya manusia,0,1 tahun yang lalu,57,tekhnologi itu di buat manusia yang ngendalikanya manusia,tekhnologi itu di buat manusia yang ngendalikanya manusia,tekhnologi itu di buat manusia yang ngendalikanya manusia,"['tekhnologi', 'itu', 'di', 'buat', 'manusia', 'yang', 'ngendalikanya', 'manusia']","['tekhnologi', 'manusia', 'ngendalikanya', 'manusia']","['tekhnologi', 'manusia', 'ngendalikanya', 'manusia']",tekhnologi manusia ngendalikanya manusia,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@abdulmuchib9296,siiip,0,1 tahun yang lalu,5,siiip,sip,sip,['sip'],['sip'],['sip'],sip,0
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@jakasuyudhi7561,Betul mbak Prof.. Yg membuat IA siapa? Tekhnologi diciptakan manusia sebagai Arsip. Jika kita lupa maka arsip itulah yang kita buka. Utamanya kembangkan wawasan pengetahuan dan kreatifitas.,0,1 tahun yang lalu,189,betul mbak prof.. yg membuat ia siapa? tekhnologi diciptakan manusia sebagai arsip. jika kita lupa maka arsip itulah yang kita buka. utamanya kembangkan wawasan pengetahuan dan kreatifitas.,betul mbak prof yg membuat ia siapa tekhnologi diciptakan manusia sebagai arsip jika kita lupa maka arsip itulah yang kita buka utamanya kembangkan wawasan pengetahuan dan kreatifitas,betul mbak prof yg membuat ia siapa tekhnologi diciptakan manusia sebagai arsip jika kita lupa maka arsip itulah yang kita buka utamanya kembangkan wawasan pengetahuan dan kreatifitas,"['betul', 'mbak', 'prof', 'yg', 'membuat', 'ia', 'siapa', 'tekhnologi', 'diciptakan', 'manusia', 'sebagai', 'arsip', 'jika', 'kita', 'lupa', 'maka', 'arsip', 'itulah', 'yang', 'kita', 'buka', 'utamanya', 'kembangkan', 'wawasan', 'pengetahuan', 'dan', 'kreatifitas']","['tekhnologi', 'diciptakan', 'manusia', 'arsip', 'lupa', 'arsip', 'buka', 'utamanya', 'kembangkan', 'wawasan', 'pengetahuan', 'kreatifitas']","['tekhnologi', 'cipta', 'manusia', 'arsip', 'lupa', 'arsip', 'buka', 'utama', 'kembang', 'wawas', 'tahu', 'kreatifitas']",tekhnologi cipta manusia arsip lupa arsip buka utama kembang wawas tahu kreatifitas,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@NOXRIDER-c1t,"tetapi banyak ortu yang babel dan menyalahkan gadgetnya, apalagi banyak masyarakat indonesia yang menonton seperti ini males",0,1 tahun yang lalu,124,"tetapi banyak ortu yang babel dan menyalahkan gadgetnya, apalagi banyak masyarakat indonesia yang menonton seperti ini males",tetapi banyak ortu yang babel dan menyalahkan gadgetnya apalagi banyak masyarakat indonesia yang menonton seperti ini males,tetapi banyak ortu yang babel dan menyalahkan gadgetnya apalagi banyak masyarakat indonesia yang menonton seperti ini males,"['tetapi', 'banyak', 'ortu', 'yang', 'babel', 'dan', 'menyalahkan', 'gadgetnya', 'apalagi', 'banyak', 'masyarakat', 'indonesia', 'yang', 'menonton', 'seperti', 'ini', 'males']","['ortu', 'babel', 'menyalahkan', 'gadgetnya', 'masyarakat', 'indonesia', 'menonton', 'males']","['ortu', 'babel', 'salah', 'gadgetnya', 'masyarakat', 'indonesia', 'tonton', 'males']",ortu babel salah gadgetnya masyarakat indonesia tonton males,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@ahmadsyaifudinzuhri9908,👍👍👍👍👍,0,1 tahun yang lalu,5,👍👍👍👍👍,,,[],[],[],,0
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@sandsam-n3x,"Mudah-mudahan Indonesia menjadi jauh lebih baik di era kepemimpinan pak prabowo, khususnya dibidang pendidikan..",0,1 tahun yang lalu,112,"mudah-mudahan indonesia menjadi jauh lebih baik di era kepemimpinan pak prabowo, khususnya dibidang pendidikan..",mudahmudahan indonesia menjadi jauh lebih baik di era kepemimpinan pak prabowo khususnya dibidang pendidikan,mudahmudahan indonesia menjadi jauh lebih baik di era kepemimpinan pak prabowo khususnya dibidang pendidikan,"['mudahmudahan', 'indonesia', 'menjadi', 'jauh', 'lebih', 'baik', 'di', 'era', 'kepemimpinan', 'pak', 'prabowo', 'khususnya', 'dibidang', 'pendidikan']","['mudahmudahan', 'indonesia', 'era', 'kepemimpinan', 'prabowo', 'dibidang', 'pendidikan']","['mudahmudahan', 'indonesia', 'era', 'pimpin', 'prabowo', 'bidang', 'didik']",mudahmudahan indonesia era pimpin prabowo bidang didik,2
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@suhaimimi418,Orang2 jujur tdk akan mau bekerja di pemerintahan krn otak mrk tdk akan dipakai.,0,1 tahun yang lalu,80,orang2 jujur tdk akan mau bekerja di pemerintahan krn otak mrk tdk akan dipakai.,orang jujur tdk akan mau bekerja di pemerintahan krn otak mrk tdk akan dipakai,orang jujur tidak akan mau bekerja di pemerintahan karena otak mrk tidak akan dipakai,"['orang', 'jujur', 'tidak', 'akan', 'mau', 'bekerja', 'di', 'pemerintahan', 'karena', 'otak', 'mrk', 'tidak', 'akan', 'dipakai']","['orang', 'jujur', 'pemerintahan', 'otak', 'mrk', 'dipakai']","['orang', 'jujur', 'perintah', 'otak', 'mrk', 'pakai']",orang jujur perintah otak mrk pakai,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@suhaimimi418,Orang2 yg cinta negeri akan mededikasikan dirinya untuk memajukan negerinya tanpa hitung2an.,0,1 tahun yang lalu,92,orang2 yg cinta negeri akan mededikasikan dirinya untuk memajukan negerinya tanpa hitung2an.,orang yg cinta negeri akan mededikasikan dirinya untuk memajukan negerinya tanpa hitung an,orang yg cinta negeri akan mededikasikan dirinya untuk memajukan negerinya tanpa hitung an,"['orang', 'yg', 'cinta', 'negeri', 'akan', 'mededikasikan', 'dirinya', 'untuk', 'memajukan', 'negerinya', 'tanpa', 'hitung', 'an']","['orang', 'cinta', 'negeri', 'mededikasikan', 'memajukan', 'negerinya', 'hitung', 'an']","['orang', 'cinta', 'negeri', 'mededikasikan', 'maju', 'negeri', 'hitung', 'an']",orang cinta negeri mededikasikan maju negeri hitung an,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@shinodahao,"Asli keren dan mantap. Ini yang saya harapkan dari dulu, indonesia di punggawai oleh orang yg suka penelitian. Semoga dengan prof stella di kabinet pak Prabowo dunia penelitian indonesia semakin maju di Kampus2",2,1 tahun yang lalu,210,"asli keren dan mantap. ini yang saya harapkan dari dulu, indonesia di punggawai oleh orang yg suka penelitian. semoga dengan prof stella di kabinet pak prabowo dunia penelitian indonesia semakin maju di kampus2",asli keren dan mantap ini yang saya harapkan dari dulu indonesia di punggawai oleh orang yg suka penelitian semoga dengan prof stella di kabinet pak prabowo dunia penelitian indonesia semakin maju di kampus,asli keren dan mantap ini yang saya harapkan dari dulu indonesia di punggawai oleh orang yg suka penelitian semoga dengan prof stella di kabinet pak prabowo dunia penelitian indonesia semakin maju di kampus,"['asli', 'keren', 'dan', 'mantap', 'ini', 'yang', 'saya', 'harapkan', 'dari', 'dulu', 'indonesia', 'di', 'punggawai', 'oleh', 'orang', 'yg', 'suka', 'penelitian', 'semoga', 'dengan', 'prof', 'stella', 'di', 'kabinet', 'pak', 'prabowo', 'dunia', 'penelitian', 'indonesia', 'semakin', 'maju', 'di', 'kampus']","['asli', 'keren', 'harapkan', 'indonesia', 'punggawai', 'orang', 'suka', 'penelitian', 'semoga', 'kabinet', 'prabowo', 'dunia', 'penelitian', 'indonesia', 'maju', 'kampus']","['asli', 'keren', 'harap', 'indonesia', 'punggawa', 'orang', 'suka', 'teliti', 'moga', 'kabinet', 'prabowo', 'dunia', 'teliti', 'indonesia', 'maju', 'kampus']",asli keren harap indonesia punggawa orang suka teliti moga kabinet prabowo dunia teliti indonesia maju kampus,2
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@suhaimimi418,Sekarang anak2 bnyk di hilangkan ortu/guru masa bermainnya.,0,1 tahun yang lalu,59,sekarang anak2 bnyk di hilangkan ortu/guru masa bermainnya.,sekarang anak bnyk di hilangkan ortuguru masa bermainnya,sekarang anak bnyk di hilangkan ortuguru masa bermainnya,"['sekarang', 'anak', 'bnyk', 'di', 'hilangkan', 'ortuguru', 'masa', 'bermainnya']","['anak', 'bnyk', 'hilangkan', 'ortuguru', 'bermainnya']","['anak', 'bnyk', 'hilang', 'ortuguru', 'main']",anak bnyk hilang ortuguru main,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@suhaimimi418,"Otak itu memang hrs sering di gunakan,bila tdk otak akan rusak.",0,1 tahun yang lalu,63,"otak itu memang hrs sering di gunakan,bila tdk otak akan rusak.",otak itu memang hrs sering di gunakanbila tdk otak akan rusak,otak itu memang hrs sering di gunakanbila tidak otak akan rusak,"['otak', 'itu', 'memang', 'hrs', 'sering', 'di', 'gunakanbila', 'tidak', 'otak', 'akan', 'rusak']","['otak', 'hrs', 'gunakanbila', 'otak', 'rusak']","['otak', 'hrs', 'gunakanbila', 'otak', 'rusak']",otak hrs gunakanbila otak rusak,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@suhaimimi418,Sepintar apapun robot tp dia tdk punya kebijakan pikiran.,0,1 tahun yang lalu,57,sepintar apapun robot tp dia tdk punya kebijakan pikiran.,sepintar apapun robot tp dia tdk punya kebijakan pikiran,sepintar apapun robot tp dia tidak punya kebijakan pikiran,"['sepintar', 'apapun', 'robot', 'tp', 'dia', 'tidak', 'punya', 'kebijakan', 'pikiran']","['sepintar', 'apapun', 'robot', 'kebijakan', 'pikiran']","['pintar', 'apa', 'robot', 'bijak', 'pikir']",pintar apa robot bijak pikir,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@komangyudiutama3680,"1. Kelas menulis
2. Skill fundamental diusia anak² 
   1) Adaptasi; 
   2) Problem Solving
3. Guru harus mendapatkan insentif yg bermanfaat 
4. Universitas menjadi penyumbang perusahaan-perusahaan besar",0,1 tahun yang lalu,202,"1. kelas menulis
2. skill fundamental diusia anak² 
   1) adaptasi; 
   2) problem solving
3. guru harus mendapatkan insentif yg bermanfaat 
4. universitas menjadi penyumbang perusahaan-perusahaan besar",kelas menulis skill fundamental diusia anak adaptasi problem solving guru harus mendapatkan insentif yg bermanfaat universitas menjadi penyumbang perusahaanperusahaan besar,kelas menulis skill fundamental diusia anak adaptasi problem solving guru harus mendapatkan insentif yg bermanfaat universitas menjadi penyumbang perusahaanperusahaan besar,"['kelas', 'menulis', 'skill', 'fundamental', 'diusia', 'anak', 'adaptasi', 'problem', 'solving', 'guru', 'harus', 'mendapatkan', 'insentif', 'yg', 'bermanfaat', 'universitas', 'menjadi', 'penyumbang', 'perusahaanperusahaan', 'besar']","['kelas', 'menulis', 'skill', 'fundamental', 'diusia', 'anak', 'adaptasi', 'problem', 'solving', 'guru', 'insentif', 'bermanfaat', 'universitas', 'penyumbang', 'perusahaanperusahaan']","['kelas', 'tulis', 'skill', 'fundamental', 'usia', 'anak', 'adaptasi', 'problem', 'solving', 'guru', 'insentif', 'manfaat', 'universitas', 'sumbang', 'perusahaanperusahaan']",kelas tulis skill fundamental usia anak adaptasi problem solving guru insentif manfaat universitas sumbang perusahaanperusahaan,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@petertan4482,"Bukan otak vs AI. Fungsi otak dan AI hampir sama yaitu utk memecahkan masalah. Suka atau tdk suka, AI akan mengambil alih fungsi otak manusia utk memecahkan masalah. Lebih tepatnya: kesadaran (conciousness) vs AI. Kesadaran bukan otak. Dia lbh kompleks. Dia menampung berbagai pengalaman intrasubjektif dan eksistensial yg mustahil direkayasa oleh AI.",0,1 tahun yang lalu,351,"bukan otak vs ai. fungsi otak dan ai hampir sama yaitu utk memecahkan masalah. suka atau tdk suka, ai akan mengambil alih fungsi otak manusia utk memecahkan masalah. lebih tepatnya: kesadaran (conciousness) vs ai. kesadaran bukan otak. dia lbh kompleks. dia menampung berbagai pengalaman intrasubjektif dan eksistensial yg mustahil direkayasa oleh ai.",bukan otak vs ai fungsi otak dan ai hampir sama yaitu utk memecahkan masalah suka atau tdk suka ai akan mengambil alih fungsi otak manusia utk memecahkan masalah lebih tepatnya kesadaran conciousness vs ai kesadaran bukan otak dia lbh kompleks dia menampung berbagai pengalaman intrasubjektif dan eksistensial yg mustahil direkayasa oleh ai,bukan otak vs ai fungsi otak dan ai hampir sama yaitu untuk memecahkan masalah suka atau tidak suka ai akan mengambil alih fungsi otak manusia untuk memecahkan masalah lebih tepatnya kesadaran conciousness vs ai kesadaran bukan otak dia lbh kompleks dia menampung berbagai pengalaman intrasubjektif dan eksistensial yg mustahil direkayasa oleh ai,"['bukan', 'otak', 'vs', 'ai', 'fungsi', 'otak', 'dan', 'ai', 'hampir', 'sama', 'yaitu', 'untuk', 'memecahkan', 'masalah', 'suka', 'atau', 'tidak', 'suka', 'ai', 'akan', 'mengambil', 'alih', 'fungsi', 'otak', 'manusia', 'untuk', 'memecahkan', 'masalah', 'lebih', 'tepatnya', 'kesadaran', 'conciousness', 'vs', 'ai', 'kesadaran', 'bukan', 'otak', 'dia', 'lbh', 'kompleks', 'dia', 'menampung', 'berbagai', 'pengalaman', 'intrasubjektif', 'dan', 'eksistensial', 'yg', 'mustahil', 'direkayasa', 'oleh', 'ai']","['otak', 'vs', 'ai', 'fungsi', 'otak', 'ai', 'memecahkan', 'suka', 'suka', 'ai', 'mengambil', 'alih', 'fungsi', 'otak', 'manusia', 'memecahkan', 'tepatnya', 'kesadaran', 'conciousness', 'vs', 'ai', 'kesadaran', 'otak', 'lbh', 'kompleks', 'menampung', 'pengalaman', 'intrasubjektif', 'eksistensial', 'mustahil', 'direkayasa', 'ai']","['otak', 'vs', 'ai', 'fungsi', 'otak', 'ai', 'pecah', 'suka', 'suka', 'ai', 'ambil', 'alih', 'fungsi', 'otak', 'manusia', 'pecah', 'tepat', 'sadar', 'conciousness', 'vs', 'ai', 'sadar', 'otak', 'lbh', 'kompleks', 'tampung', 'alam', 'intrasubjektif', 'eksistensial', 'mustahil', 'rekayasa', 'ai']",otak vs ai fungsi otak ai pecah suka suka ai ambil alih fungsi otak manusia pecah tepat sadar conciousness vs ai sadar otak lbh kompleks tampung alam intrasubjektif eksistensial mustahil rekayasa ai,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@AIKURNIAWATI_27,"Terima kasih atas paparannya Bu stella. Sangat luar biasa dan menginspirasi ❤

Kick Andy, maju terus ❤",0,1 tahun yang lalu,102,"terima kasih atas paparannya bu stella. sangat luar biasa dan menginspirasi ❤

kick andy, maju terus ❤",terima kasih atas paparannya bu stella sangat luar biasa dan menginspirasi kick andy maju terus,terima kasih atas paparannya bu stella sangat luar biasa dan menginspirasi kick andy maju terus,"['terima', 'kasih', 'atas', 'paparannya', 'bu', 'stella', 'sangat', 'luar', 'biasa', 'dan', 'menginspirasi', 'kick', 'andy', 'maju', 'terus']","['terima', 'kasih', 'paparannya', 'menginspirasi', 'kick', 'andy', 'maju']","['terima', 'kasih', 'papar', 'inspirasi', 'kick', 'andy', 'maju']",terima kasih papar inspirasi kick andy maju,0
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@wahyukristiawan8839,"Mengalahkan tidak mungkin, membantu iya",0,1 tahun yang lalu,39,"mengalahkan tidak mungkin, membantu iya",mengalahkan tidak mungkin membantu iya,mengalahkan tidak mungkin membantu iya,"['mengalahkan', 'tidak', 'mungkin', 'membantu', 'iya']","['mengalahkan', 'membantu']","['kalah', 'bantu']",kalah bantu,0
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@RostiUdinArobi-r1v,Lebih bijak mambahas bgmn mngtaskan pengguran d melanjutkan program pres Soeharto,0,1 tahun yang lalu,81,lebih bijak mambahas bgmn mngtaskan pengguran d melanjutkan program pres soeharto,lebih bijak mambahas bgmn mngtaskan pengguran d melanjutkan program pres soeharto,lebih bijak mambahas bgmn mngtaskan pengguran d melanjutkan program pres soeharto,"['lebih', 'bijak', 'mambahas', 'bgmn', 'mngtaskan', 'pengguran', 'd', 'melanjutkan', 'program', 'pres', 'soeharto']","['bijak', 'mambahas', 'bgmn', 'mngtaskan', 'pengguran', 'd', 'melanjutkan', 'program', 'pres', 'soeharto']","['bijak', 'mambahas', 'bgmn', 'mngtaskan', 'pengguran', 'd', 'lanjut', 'program', 'pres', 'soeharto']",bijak mambahas bgmn mngtaskan pengguran d lanjut program pres soeharto,1
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@derbyb79,"Pak Andy, di Indonesia ada partner international publishers yang melayani guru2 dari sabang sampai marauke yang effort mereka juga luar biasa melatih guru-guru Indonesia dengan berbagai program professional development, mungkin suatu saat bisa diajak berdiskusi 😁🙏",0,1 tahun yang lalu,264,"pak andy, di indonesia ada partner international publishers yang melayani guru2 dari sabang sampai marauke yang effort mereka juga luar biasa melatih guru-guru indonesia dengan berbagai program professional development, mungkin suatu saat bisa diajak berdiskusi 😁🙏",pak andy di indonesia ada partner international publishers yang melayani guru dari sabang sampai marauke yang effort mereka juga luar biasa melatih guruguru indonesia dengan berbagai program professional development mungkin suatu saat bisa diajak berdiskusi,pak andy di indonesia ada partner international publishers yang melayani guru dari sabang sampai marauke yang effort mereka juga luar biasa melatih guruguru indonesia dengan berbagai program professional development mungkin suatu saat bisa diajak berdiskusi,"['pak', 'andy', 'di', 'indonesia', 'ada', 'partner', 'international', 'publishers', 'yang', 'melayani', 'guru', 'dari', 'sabang', 'sampai', 'marauke', 'yang', 'effort', 'mereka', 'juga', 'luar', 'biasa', 'melatih', 'guruguru', 'indonesia', 'dengan', 'berbagai', 'program', 'professional', 'development', 'mungkin', 'suatu', 'saat', 'bisa', 'diajak', 'berdiskusi']","['andy', 'indonesia', 'partner', 'international', 'publishers', 'melayani', 'guru', 'sabang', 'marauke', 'effort', 'melatih', 'guruguru', 'indonesia', 'program', 'professional', 'development', 'diajak', 'berdiskusi']","['andy', 'indonesia', 'partner', 'international', 'publishers', 'layan', 'guru', 'sabang', 'marauke', 'effort', 'latih', 'guruguru', 'indonesia', 'program', 'professional', 'development', 'ajak', 'diskus']",andy indonesia partner international publishers layan guru sabang marauke effort latih guruguru indonesia program professional development ajak diskus,2
4,https://www.youtube.com/watch?v=Glvgjr-gPUQ,@derbyb79,"Bu wamen kalo tidak ada assessment memgenai IQ, apakah kita bisa tau bagaimana mengembangkan growth mindset? Apakah menanamkan growth mindset mungkin tanpa IQ yang mumpuni? Jadi jika assessment IQ tidak penting bagaimana kita akan mengevaluasi apa yg mau di ubah? Dan test IQ itu apakah bukan data dan hasil riset?",0,1 tahun yang lalu,314,"bu wamen kalo tidak ada assessment memgenai iq, apakah kita bisa tau bagaimana mengembangkan growth mindset? apakah menanamkan growth mindset mungkin tanpa iq yang mumpuni? jadi jika assessment iq tidak penting bagaimana kita akan mengevaluasi apa yg mau di ubah? dan test iq itu apakah bukan data dan hasil riset?",bu wamen kalo tidak ada assessment memgenai iq apakah kita bisa tau bagaimana mengembangkan growth mindset apakah menanamkan growth mindset mungkin tanpa iq yang mumpuni jadi jika assessment iq tidak penting bagaimana kita akan mengevaluasi apa yg mau di ubah dan test iq itu apakah bukan data dan hasil riset,bu wamen kalo tidak ada assessment memgenai iq apakah kita bisa tau bagaimana mengembangkan growth mindset apakah menanamkan growth mindset mungkin tanpa iq yang mumpuni jadi jika assessment iq tidak penting bagaimana kita akan mengevaluasi apa yg mau di ubah dan test iq itu apakah bukan data dan hasil riset,"['bu', 'wamen', 'kalo', 'tidak', 'ada', 'assessment', 'memgenai', 'iq', 'apakah', 'kita', 'bisa', 'tau', 'bagaimana', 'mengembangkan', 'growth', 'mindset', 'apakah', 'menanamkan', 'growth', 'mindset', 'mungkin', 'tanpa', 'iq', 'yang', 'mumpuni', 'jadi', 'jika', 'assessment', 'iq', 'tidak', 'penting', 'bagaimana', 'kita', 'akan', 'mengevaluasi', 'apa', 'yg', 'mau', 'di', 'ubah', 'dan', 'test', 'iq', 'itu', 'apakah', 'bukan', 'data', 'dan', 'hasil', 'riset']","['wamen', 'assessment', 'memgenai', 'iq', 'tau', 'mengembangkan', 'growth', 'mindset', 'menanamkan', 'growth', 'mindset', 'iq', 'mumpuni', 'assessment', 'iq', 'mengevaluasi', 'ubah', 'test', 'iq', 'data', 'hasil', 'riset']","['wamen', 'assessment', 'memgenai', 'iq', 'tau', 'kembang', 'growth', 'mindset', 'tanam', 'growth', 'mindset', 'iq', 'mumpuni', 'assessment', 'iq', 'evaluasi', 'ubah', 'test', 'iq', 'data', 'hasil', 'riset']",wamen assessment memgenai iq tau kembang growth mindset tanam growth mindset iq mumpuni assessment iq evaluasi ubah test iq data hasil riset,1
